#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:00.423Z,19.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:02.379Z,26.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:04.295Z,26.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:05.38Z,26.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:07.104Z,40.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:09.062Z,25.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:10.984Z,29.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:12.908Z,29.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:13.928Z,29.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:15.825Z,26.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:16.833Z,26.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:18.728Z,15.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:20.653Z,25.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:22.588Z,23.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:23.623Z,23.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:25.5Z,23.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:26.507Z,23.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:28.4Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:29.404Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:31.39Z,12.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:33.328Z,32.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:35.187Z,32.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:36.195Z,32.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:38.106Z,33.1,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:40.015Z,36.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:41.948Z,20.6,angleTrue,environment,wind
,,0,2019-10-05T16:23:00Z,2019-10-05T16:28:00Z,2019-10-05T16:23:42.958Z,20.6,angleTrue,environment,wind
