#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:00.249Z,3.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:02.189Z,8.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:04.106Z,9,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:06.051Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:07.99Z,24,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:09.955Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:11.876Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:13.821Z,3.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:14.834Z,7,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:16.761Z,19,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:18.651Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:20.57Z,10,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:22.539Z,3,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:23.62Z,12,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:25.445Z,8.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:27.347Z,19,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:29.286Z,16.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:31.238Z,20.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:33.155Z,15.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:35.089Z,25.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:37.027Z,23,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:38.962Z,15.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:40.904Z,27.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:42.836Z,25,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:44.831Z,12.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:46.814Z,14.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:48.64Z,5.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:50.592Z,16.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:52.61Z,33.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:54.463Z,35.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:56.404Z,36,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:25:58.328Z,1,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:00.259Z,10.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:02.214Z,12.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:04.132Z,1.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:06.069Z,10.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:08.001Z,19,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:09.938Z,20.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:11.873Z,22.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:13.811Z,23.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:15.794Z,26.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:16.802Z,23.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:17.893Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:19.622Z,13.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:21.764Z,49,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:23.482Z,26,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:25.575Z,7.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:27.362Z,26,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:29.313Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:31.235Z,26,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:26:33.173Z,35,angleApparent,environment,wind
