#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:33.669Z,18.570000000000004,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:35.605Z,18.795000000000005,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:37.541Z,18.745000000000005,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:39.468Z,18.995000000000005,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:41.444Z,19.365000000000002,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:43.364Z,20.085,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:45.298Z,19.675000000000004,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:47.25Z,19.520000000000003,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:48.253Z,17.03,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:50.176Z,15.055000000000001,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:52.095Z,14.430000000000001,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:53.156Z,13.3,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:34:55.078Z,13.025,angleTrue,environment,wind
