ClockTicks,UTC-ISO8601,Date,local Time,AvgTWA,AvgTWS,smoothed BoatSpd,Percent
1569172920482,2019-09-22T17:22:00Z,9/22/2019,7:22:00 PM,140,23.3,6.03,75.00
1569172920930,2019-09-22T17:22:00Z,9/22/2019,7:22:00 PM,128,23.2,6.05,75.41
1569172925552,2019-09-22T17:22:05Z,9/22/2019,7:22:05 PM,131,23.3,6.07,75.27
1569172930553,2019-09-22T17:22:10Z,9/22/2019,7:22:10 PM,135,23.2,6.04,75.80
1569172935553,2019-09-22T17:22:15Z,9/22/2019,7:22:15 PM,137,23.0,6.01,75.66
1569172940554,2019-09-22T17:22:20Z,9/22/2019,7:22:20 PM,140,22.6,6.03,78.28
1569172945552,2019-09-22T17:22:25Z,9/22/2019,7:22:25 PM,142,22.4,6.01,77.30
1569172950570,2019-09-22T17:22:30Z,9/22/2019,7:22:30 PM,143,22.4,6.05,78.17
1569172955563,2019-09-22T17:22:35Z,9/22/2019,7:22:35 PM,145,22.7,5.99,77.55
1569172960578,2019-09-22T17:22:40Z,9/22/2019,7:22:40 PM,146,22.6,5.99,77.92
1569172965558,2019-09-22T17:22:45Z,9/22/2019,7:22:45 PM,148,22.2,6.03,82.14
1569172970582,2019-09-22T17:22:50Z,9/22/2019,7:22:50 PM,149,22.3,5.98,80.19
1569172975561,2019-09-22T17:22:55Z,9/22/2019,7:22:55 PM,149,22.7,5.99,78.85
1569172980576,2019-09-22T17:23:00Z,9/22/2019,7:23:00 PM,149,22.8,5.99,79.28
1569172985557,2019-09-22T17:23:05Z,9/22/2019,7:23:05 PM,150,22.9,5.92,77.10
1569172990572,2019-09-22T17:23:10Z,9/22/2019,7:23:10 PM,150,23.0,5.88,75.72
1569172995563,2019-09-22T17:23:15Z,9/22/2019,7:23:15 PM,138,22.8,5.85,75.57
1569173000580,2019-09-22T17:23:20Z,9/22/2019,7:23:20 PM,129,23.0,5.85,75.00
1569173005575,2019-09-22T17:23:25Z,9/22/2019,7:23:25 PM,133,22.7,5.86,76.15
1569173010572,2019-09-22T17:23:30Z,9/22/2019,7:23:30 PM,136,22.8,5.90,78.08
1569173015567,2019-09-22T17:23:35Z,9/22/2019,7:23:35 PM,137,22.4,5.89,76.96
1569173020579,2019-09-22T17:23:40Z,9/22/2019,7:23:40 PM,116,22.3,5.90,76.49
1569173025594,2019-09-22T17:23:45Z,9/22/2019,7:23:45 PM, 98,22.1,5.84,75.80
1569173030592,2019-09-22T17:23:50Z,9/22/2019,7:23:50 PM, 61,22.4,5.82,73.85
1569173035553,2019-09-22T17:23:55Z,9/22/2019,7:23:55 PM, 52,22.7,5.83,73.37
1569173040554,2019-09-22T17:24:00Z,9/22/2019,7:24:00 PM, 65,23.5,5.86,72.86
1569173045552,2019-09-22T17:24:05Z,9/22/2019,7:24:05 PM, 76,23.6,5.85,72.70
1569173050554,2019-09-22T17:24:10Z,9/22/2019,7:24:10 PM, 54,23.2,5.92,73.99
1569173055556,2019-09-22T17:24:15Z,9/22/2019,7:24:15 PM, 35,23.6,5.98,75.70
1569173060556,2019-09-22T17:24:20Z,9/22/2019,7:24:20 PM, 28,23.7,6.00,74.33
1569173065552,2019-09-22T17:24:25Z,9/22/2019,7:24:25 PM, 25,24.1,6.00,73.12
1569173070558,2019-09-22T17:24:30Z,9/22/2019,7:24:30 PM, 32,24.4,6.02,73.81
1569173075559,2019-09-22T17:24:35Z,9/22/2019,7:24:35 PM, 50,24.6,6.08,74.28
1569173080564,2019-09-22T17:24:40Z,9/22/2019,7:24:40 PM, 65,24.7,6.08,74.38
1569173085554,2019-09-22T17:24:45Z,9/22/2019,7:24:45 PM, 68,24.7,6.11,74.82
