ClockTicks,UTC-ISO8601,Date,local Time,TWD,TWS,smoothed TWD,smoothed TWS
1569172905123,2019-09-22T17:21:45Z,9/22/2019,7:21:45 PM,347,27.9,353,22.7
1569172910014,2019-09-22T17:21:50Z,9/22/2019,7:21:50 PM,350,27.7,353,22.7
1569172920432,2019-09-22T17:22:00Z,9/22/2019,7:22:00 PM,345,26.9,353,22.7
1569172925327,2019-09-22T17:22:05Z,9/22/2019,7:22:05 PM,348,27.2,353,22.8
1569172925881,2019-09-22T17:22:05Z,9/22/2019,7:22:05 PM,348,27.2,353,22.8
1569172930217,2019-09-22T17:22:10Z,9/22/2019,7:22:10 PM,350,23.2,352,22.9
1569172935168,2019-09-22T17:22:15Z,9/22/2019,7:22:15 PM,349,23.0,352,22.9
1569172940223,2019-09-22T17:22:20Z,9/22/2019,7:22:20 PM,346,21.8,352,22.8
1569172945178,2019-09-22T17:22:25Z,9/22/2019,7:22:25 PM,357,24.1,352,22.8
1569172950220,2019-09-22T17:22:30Z,9/22/2019,7:22:30 PM,351,20.8,351,22.9
1569172955181,2019-09-22T17:22:35Z,9/22/2019,7:22:35 PM,335,21.4,351,23.0
1569172960164,2019-09-22T17:22:40Z,9/22/2019,7:22:40 PM,347,23.8,351,22.9
1569172965160,2019-09-22T17:22:45Z,9/22/2019,7:22:45 PM,341,27.2,351,22.8
1569172970198,2019-09-22T17:22:50Z,9/22/2019,7:22:50 PM,355,24.4,351,22.9
1569172975221,2019-09-22T17:22:55Z,9/22/2019,7:22:55 PM,361,28.6,350,23.0
1569172980230,2019-09-22T17:23:00Z,9/22/2019,7:23:00 PM,348,26.7,350,23.0
1569172985227,2019-09-22T17:23:05Z,9/22/2019,7:23:05 PM,347,23.1,350,23.1
1569172990207,2019-09-22T17:23:10Z,9/22/2019,7:23:10 PM,345,24.7,350,23.1
1569172995232,2019-09-22T17:23:15Z,9/22/2019,7:23:15 PM,354,28.0,350,23.0
1569173000372,2019-09-22T17:23:20Z,9/22/2019,7:23:20 PM,350,26.9,349,23.1
1569173005174,2019-09-22T17:23:25Z,9/22/2019,7:23:25 PM,352,20.9,349,23.1
1569173010074,2019-09-22T17:23:30Z,9/22/2019,7:23:30 PM,341,25.6,349,23.1
1569173010885,2019-09-22T17:23:30Z,9/22/2019,7:23:30 PM,343,22.3,349,23.1
1569173015923,2019-09-22T17:23:35Z,9/22/2019,7:23:35 PM,358,18.0,349,23.1
1569173020920,2019-09-22T17:23:40Z,9/22/2019,7:23:40 PM,363,19.9,349,23.0
1569173025224,2019-09-22T17:23:45Z,9/22/2019,7:23:45 PM,355,19.3,349,22.9
1569173030019,2019-09-22T17:23:50Z,9/22/2019,7:23:50 PM,361,26.2,349,22.8
1569173035204,2019-09-22T17:23:55Z,9/22/2019,7:23:55 PM,356,24.4,349,23.0
1569173040310,2019-09-22T17:24:00Z,9/22/2019,7:24:00 PM,354,30.0,350,23.1
1569173045049,2019-09-22T17:24:05Z,9/22/2019,7:24:05 PM,363,27.7,350,23.2
1569173050062,2019-09-22T17:24:10Z,9/22/2019,7:24:10 PM,355,16.3,350,23.2
1569173050982,2019-09-22T17:24:10Z,9/22/2019,7:24:10 PM,358,17.1,350,23.2
1569173055045,2019-09-22T17:24:15Z,9/22/2019,7:24:15 PM,339,22.1,350,23.3
1569173060173,2019-09-22T17:24:20Z,9/22/2019,7:24:20 PM,346,25.8,350,23.3
1569173065251,2019-09-22T17:24:25Z,9/22/2019,7:24:25 PM,363,26.1,350,23.4
1569173065921,2019-09-22T17:24:25Z,9/22/2019,7:24:25 PM,353,27.9,350,23.5
