_time,_value
date,double
2019-10-05T20:06:00.969Z,16
2019-10-05T20:06:02.904Z,17
2019-10-05T20:06:04.841Z,23
2019-10-05T20:06:06.775Z,30.5
2019-10-05T20:06:08.71Z,31
2019-10-05T20:06:10.648Z,28.5
2019-10-05T20:06:12.583Z,23.5
2019-10-05T20:06:14.518Z,31.5
2019-10-05T20:06:16.476Z,19.5
2019-10-05T20:06:18.391Z,17.5
2019-10-05T20:06:20.34Z,22
2019-10-05T20:06:22.286Z,25
2019-10-05T20:06:24.201Z,33.5
2019-10-05T20:06:26.148Z,34
2019-10-05T20:06:28.07Z,27
2019-10-05T20:06:29.132Z,24.5
2019-10-05T20:06:30.977Z,18
2019-10-05T20:06:32.909Z,14
2019-10-05T20:06:34.92Z,10.5
2019-10-05T20:06:36.781Z,9.5
2019-10-05T20:06:38.717Z,19.5
2019-10-05T20:06:40.706Z,28
2019-10-05T20:06:42.592Z,20.5
2019-10-05T20:06:44.525Z,17
2019-10-05T20:06:46.461Z,28
2019-10-05T20:06:48.408Z,22
2019-10-05T20:06:50.336Z,24.5
2019-10-05T20:06:52.283Z,26
2019-10-05T20:06:54.209Z,20.5
2019-10-05T20:06:56.145Z,20
2019-10-05T20:06:58.077Z,28.5
2019-10-05T20:07:00.022Z,14
2019-10-05T20:07:01.948Z,23
2019-10-05T20:07:03.885Z,17
2019-10-05T20:07:05.819Z,22.5
2019-10-05T20:07:07.766Z,17.5
2019-10-05T20:07:09.691Z,25
2019-10-05T20:07:11.627Z,23
2019-10-05T20:07:13.564Z,22.5
2019-10-05T20:07:15.5Z,24.5
2019-10-05T20:07:17.435Z,25.5
2019-10-05T20:07:19.37Z,20.5
2019-10-05T20:07:21.4Z,28.5
2019-10-05T20:07:23.247Z,31.5
2019-10-05T20:07:25.184Z,29
2019-10-05T20:07:27.116Z,21.5
2019-10-05T20:07:29.075Z,23
2019-10-05T20:07:30.986Z,18
2019-10-05T20:07:33.044Z,18.5
2019-10-05T20:07:34.859Z,18
2019-10-05T20:07:36.795Z,19.5
2019-10-05T20:07:38.73Z,21.5
2019-10-05T20:07:40.779Z,25
2019-10-05T20:07:42.602Z,25
2019-10-05T20:07:44.538Z,24.5
2019-10-05T20:07:46.474Z,23
2019-10-05T20:07:48.41Z,24
2019-10-05T20:07:49.411Z,31
2019-10-05T20:07:51.313Z,28.5
2019-10-05T20:07:53.272Z,23
2019-10-05T20:07:55.2Z,20.5
2019-10-05T20:07:57.123Z,17
2019-10-05T20:07:59.069Z,19
2019-10-05T20:08:01.016Z,26
2019-10-05T20:08:02.929Z,18
2019-10-05T20:08:04.865Z,19.5
2019-10-05T20:08:06.8Z,19
2019-10-05T20:08:08.735Z,26
2019-10-05T20:08:10.677Z,21.5
2019-10-05T20:08:12.608Z,18.5
2019-10-05T20:08:14.544Z,23
2019-10-05T20:08:16.479Z,18.5
2019-10-05T20:08:18.437Z,19
2019-10-05T20:08:20.366Z,15
2019-10-05T20:08:22.311Z,16.5
2019-10-05T20:08:24.236Z,16
2019-10-05T20:08:25.324Z,23
2019-10-05T20:08:27.128Z,16
2019-10-05T20:08:29.077Z,7.5
2019-10-05T20:08:31.1Z,11.5
2019-10-05T20:08:32.935Z,14
2019-10-05T20:08:34.884Z,7.5
2019-10-05T20:08:36.807Z,12.5
2019-10-05T20:08:38.743Z,23
2019-10-05T20:08:40.681Z,11
2019-10-05T20:08:42.614Z,9
2019-10-05T20:08:44.551Z,5
2019-10-05T20:08:46.486Z,8
2019-10-05T20:08:48.421Z,3
2019-10-05T20:08:50.361Z,1
