_time,_value
date,double
2019-10-05T16:34:01.719Z,8.1
2019-10-05T16:34:03.658Z,9.1
2019-10-05T16:34:05.585Z,4.1
2019-10-05T16:34:07.545Z,1.6
2019-10-05T16:34:09.462Z,7.6
2019-10-05T16:34:11.396Z,28.7
2019-10-05T16:34:12.415Z,20.1
2019-10-05T16:34:14.303Z,50.3
2019-10-05T16:34:15.303Z,41.1
2019-10-05T16:34:17.238Z,20.6
2019-10-05T16:34:18.239Z,23.1
2019-10-05T16:34:20.184Z,20.1
2019-10-05T16:34:22.142Z,13.1
2019-10-05T16:34:23.157Z,3.6
2019-10-05T16:34:25.15Z,24.6
2019-10-05T16:34:26.886Z,16.1
2019-10-05T16:34:27.892Z,16.1
2019-10-05T16:34:29.887Z,16.6
2019-10-05T16:34:31.753Z,25.7
2019-10-05T16:34:33.669Z,21.1
2019-10-05T16:34:35.605Z,12.6
2019-10-05T16:34:37.541Z,8.1
2019-10-05T16:34:39.468Z,9.1
2019-10-05T16:34:41.444Z,9
2019-10-05T16:34:43.364Z,22
2019-10-05T16:34:45.298Z,20.5
2019-10-05T16:34:47.25Z,17
2019-10-05T16:34:48.253Z,0.5
2019-10-05T16:34:50.176Z,1.6
2019-10-05T16:34:52.095Z,8.1
2019-10-05T16:34:53.156Z,0.5
2019-10-05T16:34:55.078Z,14.6
2019-10-05T16:34:56.898Z,21.6
2019-10-05T16:34:58.917Z,21.1
2019-10-05T16:35:00.767Z,19.6
2019-10-05T16:35:02.701Z,22.6
2019-10-05T16:35:04.643Z,52.1
2019-10-05T16:35:06.58Z,23.7
2019-10-05T16:35:08.516Z,33.6
2019-10-05T16:35:10.44Z,24.6
2019-10-05T16:35:12.408Z,43.1
2019-10-05T16:35:14.319Z,32.6
2019-10-05T16:35:16.269Z,30.6
2019-10-05T16:35:17.292Z,15.1
2019-10-05T16:35:18.297Z,8.6
2019-10-05T16:35:20.171Z,16.7
2019-10-05T16:35:22.14Z,16.1
2019-10-05T16:35:23.205Z,13.1
2019-10-05T16:35:25.081Z,5.1
2019-10-05T16:35:26.942Z,13.6
2019-10-05T16:35:27.947Z,18.1
2019-10-05T16:35:28.948Z,7.6
2019-10-05T16:35:30.764Z,23.1
2019-10-05T16:35:32.707Z,13.1
2019-10-05T16:35:34.637Z,2.6
2019-10-05T16:35:36.582Z,18.1
2019-10-05T16:35:38.522Z,14.1
2019-10-05T16:35:40.458Z,13.6
2019-10-05T16:35:42.397Z,14.1
2019-10-05T16:35:43.412Z,20.6
2019-10-05T16:35:45.3Z,23.1
2019-10-05T16:35:47.3Z,11.6
2019-10-05T16:35:49.19Z,11.6
2019-10-05T16:35:50.216Z,16.1
2019-10-05T16:35:52.155Z,24.6
2019-10-05T16:35:54.154Z,42.6
2019-10-05T16:35:55.99Z,36.7
2019-10-05T16:35:57.961Z,26.1
2019-10-05T16:35:59.805Z,41.1
2019-10-05T16:36:01.753Z,41.2
2019-10-05T16:36:03.683Z,33.7
2019-10-05T16:36:05.627Z,34.7
2019-10-05T16:36:07.547Z,34.6
2019-10-05T16:36:09.492Z,19.1
2019-10-05T16:36:11.433Z,31.1
2019-10-05T16:36:12.433Z,25.1
2019-10-05T16:36:14.332Z,21.2
2019-10-05T16:36:16.303Z,16.1
2019-10-05T16:36:18.298Z,18.6
2019-10-05T16:36:20.205Z,17.6
2019-10-05T16:36:21.238Z,27.1
2019-10-05T16:36:23.095Z,22.1
2019-10-05T16:36:24.158Z,24.6
2019-10-05T16:36:26.005Z,7.6
2019-10-05T16:36:27.891Z,3.5
2019-10-05T16:36:29.817Z,6.1
2019-10-05T16:36:31.759Z,14.6
2019-10-05T16:36:33.695Z,9.1
2019-10-05T16:36:35.631Z,8.1
2019-10-05T16:36:37.561Z,14.6
2019-10-05T16:36:39.497Z,18.6
2019-10-05T16:36:41.434Z,27.1
2019-10-05T16:36:43.4Z,12.1
2019-10-05T16:36:45.303Z,21.7
2019-10-05T16:36:47.25Z,23.6
2019-10-05T16:36:48.25Z,20.6
2019-10-05T16:36:50.257Z,22.1
2019-10-05T16:36:52.2Z,16.1
2019-10-05T16:36:54.126Z,17.6
2019-10-05T16:36:55.144Z,29.6
2019-10-05T16:36:57.019Z,21.6
2019-10-05T16:36:58.88Z,14.1
2019-10-05T16:37:00.794Z,13.1
2019-10-05T16:37:02.768Z,2.6
2019-10-05T16:37:04.67Z,17.1
2019-10-05T16:37:06.595Z,23.6
2019-10-05T16:37:08.55Z,16.6
2019-10-05T16:37:10.474Z,26.1
2019-10-05T16:37:12.406Z,16.1
2019-10-05T16:37:13.413Z,29.1
2019-10-05T16:37:15.319Z,28.1
2019-10-05T16:37:17.287Z,23.2
2019-10-05T16:37:18.3Z,23.1
2019-10-05T16:37:20.192Z,26.6
2019-10-05T16:37:21.25Z,19.1
2019-10-05T16:37:23.128Z,16.1
2019-10-05T16:37:24.146Z,6.6
2019-10-05T16:37:25.157Z,5.6
2019-10-05T16:37:27.078Z,9.6
2019-10-05T16:37:28.879Z,10.6
2019-10-05T16:37:30.804Z,9.1
2019-10-05T16:37:32.727Z,11.6
2019-10-05T16:37:34.664Z,23.1
2019-10-05T16:37:36.614Z,23.2
2019-10-05T16:37:38.549Z,40.2
2019-10-05T16:37:40.482Z,37.2
2019-10-05T16:37:42.416Z,17.6
2019-10-05T16:37:44.343Z,17.1
2019-10-05T16:37:45.347Z,1.5
2019-10-05T16:37:47.264Z,21.5
2019-10-05T16:37:49.235Z,7
2019-10-05T16:37:51.197Z,7
2019-10-05T16:37:52.205Z,1.5
2019-10-05T16:37:54.146Z,3.6
2019-10-05T16:37:55.147Z,5.5
2019-10-05T16:37:56.978Z,3.1
2019-10-05T16:37:58.089Z,2.6
2019-10-05T16:37:59.846Z,6.6
2019-10-05T16:38:01.778Z,11.1
2019-10-05T16:38:03.706Z,15.1
2019-10-05T16:38:05.657Z,8.1
2019-10-05T16:38:07.574Z,4.6
2019-10-05T16:38:09.565Z,15.1
2019-10-05T16:38:10.74Z,7.6
2019-10-05T16:38:12.423Z,10.6
2019-10-05T16:38:14.35Z,15.1
2019-10-05T16:38:16.286Z,16.1
2019-10-05T16:38:18.233Z,5.6
2019-10-05T16:38:20.18Z,18.6
2019-10-05T16:38:21.192Z,16.1
