_time,_value
date,double
2019-10-05T16:14:01.169Z,-28.1
2019-10-05T16:14:03.106Z,-26.6
2019-10-05T16:14:05.045Z,-26.1
2019-10-05T16:14:06.049Z,-30.1
2019-10-05T16:14:07.956Z,-33.1
2019-10-05T16:14:09.887Z,-26.1
2019-10-05T16:14:11.862Z,-25.2
2019-10-05T16:14:13.833Z,-16.6
2019-10-05T16:14:15.849Z,-21.1
2019-10-05T16:14:17.647Z,-32.6
2019-10-05T16:14:19.584Z,-38.2
2019-10-05T16:14:21.809Z,-11.1
2019-10-05T16:14:23.447Z,-19.1
2019-10-05T16:14:25.389Z,-15.6
2019-10-05T16:14:27.314Z,-16.1
2019-10-05T16:14:29.242Z,-17.1
2019-10-05T16:14:31.191Z,-21.1
2019-10-05T16:14:33.126Z,-12.6
2019-10-05T16:14:35.046Z,-13.1
2019-10-05T16:14:36.988Z,-10.6
2019-10-05T16:14:38.92Z,-23.1
2019-10-05T16:14:40.892Z,-16.1
2019-10-05T16:14:42.833Z,-18.6
2019-10-05T16:14:43.846Z,-20.1
2019-10-05T16:14:45.818Z,-23.1
2019-10-05T16:14:47.635Z,-24.6
2019-10-05T16:14:48.635Z,-17.7
2019-10-05T16:14:50.651Z,-16.1
2019-10-05T16:14:52.477Z,-16.1
2019-10-05T16:14:54.414Z,-16.1
2019-10-05T16:14:56.345Z,-12.1
2019-10-05T16:14:58.281Z,-27.1
2019-10-05T16:15:00.219Z,-26.1
2019-10-05T16:15:02.162Z,-21.1
2019-10-05T16:15:04.103Z,-5.6
2019-10-05T16:15:06.041Z,-20.6
2019-10-05T16:15:07.1Z,-19.1
2019-10-05T16:15:08.938Z,-26.6
2019-10-05T16:15:10.931Z,-31.6
2019-10-05T16:15:12.885Z,-13.6
2019-10-05T16:15:13.887Z,-16.1
2019-10-05T16:15:15.715Z,-20.6
2019-10-05T16:15:17.659Z,-21.1
2019-10-05T16:15:19.575Z,-26.7
2019-10-05T16:15:20.621Z,-25.1
2019-10-05T16:15:22.479Z,-35.6
2019-10-05T16:15:23.492Z,-33.1
2019-10-05T16:15:25.386Z,-30.1
2019-10-05T16:15:27.316Z,-33.6
2019-10-05T16:15:29.256Z,-32.6
2019-10-05T16:15:31.194Z,-46.6
2019-10-05T16:15:33.137Z,-41.7
2019-10-05T16:15:35.078Z,-41.2
2019-10-05T16:15:37.01Z,-15.6
2019-10-05T16:15:38.947Z,-45.2
2019-10-05T16:15:40.881Z,-29.1
2019-10-05T16:15:42.806Z,-38.1
2019-10-05T16:15:43.896Z,-34.1
2019-10-05T16:15:45.714Z,-21.6
2019-10-05T16:15:47.653Z,-24.1
2019-10-05T16:15:48.716Z,-29.6
2019-10-05T16:15:50.62Z,-21.6
2019-10-05T16:15:52.496Z,-20.6
2019-10-05T16:15:54.427Z,-27.1
2019-10-05T16:15:56.397Z,-19.6
2019-10-05T16:15:57.413Z,-31.1
2019-10-05T16:15:59.276Z,-30.6
2019-10-05T16:16:01.221Z,-28.6
2019-10-05T16:16:03.136Z,-40.1
2019-10-05T16:16:05.187Z,-18.6
2019-10-05T16:16:07.021Z,-32.6
2019-10-05T16:16:08.945Z,-29.1
2019-10-05T16:16:10.887Z,-22.1
2019-10-05T16:16:12.846Z,-23.6
2019-10-05T16:16:14.855Z,-7.6
2019-10-05T16:16:16.707Z,-22.1
2019-10-05T16:16:18.671Z,-14.6
2019-10-05T16:16:20.56Z,-12.6
2019-10-05T16:16:22.615Z,-13.1
2019-10-05T16:16:24.433Z,-19.6
