_time,_value
date,double
2019-10-05T20:16:01.101Z,1.5
2019-10-05T20:16:03.041Z,13.5
2019-10-05T20:16:04.981Z,0.5
2019-10-05T20:16:06.015Z,15
2019-10-05T20:16:07.881Z,7
2019-10-05T20:16:09.832Z,1
2019-10-05T20:16:11.762Z,2.5
2019-10-05T20:16:12.782Z,5
2019-10-05T20:16:14.72Z,1
2019-10-05T20:16:16.599Z,3.5
2019-10-05T20:16:18.516Z,8
2019-10-05T20:16:20.459Z,1.5
2019-10-05T20:16:22.395Z,21
2019-10-05T20:16:24.323Z,14.5
2019-10-05T20:16:26.279Z,12.5
2019-10-05T20:16:28.194Z,10.5
2019-10-05T20:16:30.137Z,1
2019-10-05T20:16:32.106Z,6.5
2019-10-05T20:16:34.01Z,7.5
2019-10-05T20:16:35.937Z,1.5
2019-10-05T20:16:37.02Z,20.5
2019-10-05T20:16:38.85Z,9
2019-10-05T20:16:40.786Z,14.5
2019-10-05T20:16:42.728Z,15
2019-10-05T20:16:44.678Z,20.5
2019-10-05T20:16:46.598Z,16
2019-10-05T20:16:48.564Z,13.5
2019-10-05T20:16:50.477Z,10
2019-10-05T20:16:52.401Z,0.5
2019-10-05T20:16:54.345Z,4.5
2019-10-05T20:16:56.274Z,3.5
2019-10-05T20:16:58.201Z,3
2019-10-05T20:17:00.147Z,12.5
2019-10-05T20:17:02.081Z,3.5
2019-10-05T20:17:04.019Z,9
2019-10-05T20:17:05.942Z,3
2019-10-05T20:17:07.894Z,4.5
2019-10-05T20:17:09.941Z,15
2019-10-05T20:17:11.796Z,10.5
2019-10-05T20:17:13.736Z,13.5
2019-10-05T20:17:15.64Z,14
2019-10-05T20:17:17.576Z,7.5
2019-10-05T20:17:19.503Z,4.5
2019-10-05T20:17:21.443Z,13.5
2019-10-05T20:17:23.379Z,15.5
2019-10-05T20:17:25.321Z,13.5
2019-10-05T20:17:27.25Z,9
2019-10-05T20:17:29.183Z,4.5
2019-10-05T20:17:31.12Z,1.5
2019-10-05T20:17:33.045Z,17.5
2019-10-05T20:17:34.05Z,7.5
2019-10-05T20:17:35.952Z,0.5
2019-10-05T20:17:36.993Z,4.5
2019-10-05T20:17:38.873Z,1.5
2019-10-05T20:17:40.831Z,7.5
2019-10-05T20:17:42.76Z,24
2019-10-05T20:17:43.785Z,10.5
2019-10-05T20:17:45.631Z,10.5
2019-10-05T20:17:47.573Z,34
2019-10-05T20:17:49.521Z,21
2019-10-05T20:17:51.451Z,30.5
2019-10-05T20:17:53.392Z,52
2019-10-05T20:17:55.317Z,1
2019-10-05T20:17:57.257Z,2.5
2019-10-05T20:17:59.202Z,14
2019-10-05T20:18:01.129Z,13
2019-10-05T20:18:03.093Z,1
2019-10-05T20:18:04.995Z,7.5
2019-10-05T20:18:06.936Z,1.5
2019-10-05T20:18:08.886Z,7.5
2019-10-05T20:18:10.884Z,14.5
2019-10-05T20:18:12.862Z,22.5
2019-10-05T20:18:14.735Z,14.5
2019-10-05T20:18:16.609Z,18.5
2019-10-05T20:18:18.555Z,13.5
2019-10-05T20:18:20.479Z,15
2019-10-05T20:18:22.449Z,20
2019-10-05T20:18:24.361Z,15.5
2019-10-05T20:18:26.29Z,12.5
2019-10-05T20:18:28.251Z,0.5
2019-10-05T20:18:30.166Z,7
2019-10-05T20:18:32.099Z,6.5
2019-10-05T20:18:34.038Z,2.5
2019-10-05T20:18:35.976Z,12
